date;heure;latitude;longitude;height;Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio;temps;distance;vitesse;tension;courant;frein;omega;couple;accel;theta
2024/06/13;13:54:56.997;48.664095676;6.155811994;305.3013;2;15;1.3824;3.2237;2.8545;-1.382;1.6351;1.1994;0.0;0.0;0.0;0.0;0.0;-4405.516397807975;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.097;48.664095189;6.155813182;305.2604;2;15;1.0166;2.4129;2.1816;-0.9679;1.3046;0.9434;0.1;0.0;0.10000002098083496;0.0;0.0;-4067.4429323819413;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.197;48.664095207;6.155813305;305.2416;2;15;0.8424;2.0129;1.835;-0.7842;1.1155;0.8012;0.2;0.0;0.20000002098083497;0.0;0.0;-3729.369537886528;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.297;48.664095038;6.155813718;305.2338;2;15;0.7352;1.7631;1.6144;-0.6756;0.9899;0.7083;0.3;0.0;0.30000002098083495;0.0;0.0;-3391.296143391116;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.397;48.66409514;6.155813512;305.2046;2;15;0.6607;1.5881;1.4581;-0.6021;0.8989;0.6416;0.4;0.0;0.400000020980835;0.0;0.0;-3053.222748895703;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.497;48.664095235;6.155813351;305.1843;2;15;0.6051;1.4566;1.3399;-0.5482;0.829;0.5907;0.5;0.0;0.500000020980835;0.0;0.0;-2715.14935440029;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.597;48.664094961;6.155813077;305.0721;2;16;0.5533;1.3505;1.2153;-0.5145;0.7577;0.5258;0.6;0.0;0.6000000209808349;0.0;0.0;-2377.075959904877;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.697;48.664094778;6.155813216;305.01;2;16;0.5149;1.2651;1.1255;-0.4845;0.7048;0.4824;0.7;0.0;0.7000000209808349;0.0;0.0;-2039.0025654094643;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.797;48.664094245;6.155814738;304.9003;2;15;0.4894;1.2071;1.0565;-0.4734;0.6503;0.4552;0.8;0.0;0.800000020980835;0.0;0.0;-1700.9291709140512;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.897;48.664093763;6.155816152;304.8114;2;15;0.4675;1.1569;0.999;-0.4621;0.6056;0.4324;0.9;0.0;0.900000020980835;0.0;0.0;-1362.8557764186385;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:57.997;48.66409332;6.155817451;304.7325;2;15;0.4484;1.1128;0.95;-0.4509;0.5682;0.4128;0.0;0.0;1.0000000209808348;0.0;0.0;-1024.782381923226;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:58.097;48.664092927;6.155818647;304.6677;2;15;0.4316;1.0737;0.9076;-0.4402;0.5364;0.3958;0.1;0.0;1.100000020980835;0.0;0.0;-686.7089874278128;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:58.197;48.664092604;6.155819674;304.6237;2;15;0.4166;1.0386;0.8704;-0.43;0.5089;0.3809;0.2;0.0;1.200000020980835;0.0;0.0;-348.6355929323996;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:58.297;48.664092287;6.155820647;304.5832;2;15;0.403;1.0065;0.8375;-0.42;0.4849;0.3675;0.3;0.0;1.300000020980835;0.0;0.0;-10.562198436987199;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:58.397;48.66409202;6.155821382;304.5381;2;15;0.3907;0.9772;0.8081;-0.4105;0.4638;0.3555;0.4;0.0;1.400000020980835;0.0;0.0;327.511196058426;0.0;0.0;0.0;0.0;;
2024/06/13;13:54:58.497;48.664091727;6.155822303;304.5105;2;15;0.3795;0.9508;0.7815;-0.4018;0.4449;0.3447;0.5;0.0;1.5000000209808348;0.0;0.0;368.5;-0.3739394367085468;0.0;0.0;0.0;;
2024/06/13;13:54:58.597;48.664091487;6.155823078;304.4837;2;15;0.3692;0.9261;0.7575;-0.3934;0.428;0.3347;0.6;0.0;1.600000020980835;0.0;0.0;368.5;-0.4;0.8534160693318962;0.0;0.0;;
2024/06/13;13:54:58.697;48.66409127;6.155823787;304.4593;2;15;0.3597;0.9034;0.7355;-0.3854;0.4128;0.3257;0.7;0.0;1.700000020980835;0.0;0.0;368.447314216315;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:58.797;48.66409108;6.155824423;304.4424;2;15;0.3509;0.8822;0.7153;-0.3779;0.399;0.3173;0.8;0.0;1.8000000209808351;0.0;0.0;368.3845001459633;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:58.897;48.664090872;6.155825043;304.4208;2;15;0.3427;0.8625;0.6968;-0.3707;0.3864;0.3095;0.9;0.0;1.900000020980835;0.0;0.0;368.32168607561147;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:58.997;48.664090714;6.155825552;304.4006;2;15;0.3351;0.8441;0.6795;-0.3639;0.3749;0.3023;0.0;0.0;2.000000020980835;0.0;0.0;368.2588720052597;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.097;48.664090595;6.155825955;304.3867;2;15;0.328;0.8268;0.6635;-0.3575;0.3643;0.2956;0.1;0.0;2.100000020980835;0.0;0.0;368.19605793490797;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.197;48.664090483;6.155826346;304.3716;2;15;0.3213;0.8105;0.6486;-0.3514;0.3544;0.2893;0.2;0.0;2.200000020980835;0.0;0.0;368.1332438645562;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.297;48.664090362;6.155826792;304.3537;2;15;0.315;0.7952;0.6346;-0.3455;0.3453;0.2834;0.3;0.0;2.300000020980835;0.0;0.0;368.0704297942045;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.397;48.664090217;6.155827316;304.3466;2;15;0.309;0.7807;0.6215;-0.3399;0.3368;0.2778;0.4;0.0;2.400000020980835;0.0;0.0;368.0076157238527;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.497;48.664090103;6.155827756;304.3315;2;15;0.3035;0.7671;0.6092;-0.3347;0.3289;0.2726;0.5;0.0;2.500000020980835;0.0;0.0;368.0768816864624;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.597;48.664089961;6.155828254;304.3193;2;15;0.2982;0.7543;0.5975;-0.3298;0.3214;0.2676;0.6;0.0;2.600000020980835;0.0;0.0;368.1643707503294;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.697;48.664089822;6.155828799;304.3058;2;15;0.2932;0.742;0.5865;-0.325;0.3144;0.2629;0.7;0.0;2.700000020980835;0.0;0.0;368.2518598141964;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.797;48.664089734;6.155829172;304.2896;2;15;0.2884;0.7303;0.5761;-0.3204;0.3079;0.2585;0.8;0.0;2.800000020980835;0.0;0.0;368.33934887806345;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.897;48.664089656;6.155829492;304.2777;2;15;0.2838;0.7192;0.5662;-0.316;0.3017;0.2542;0.9;0.0;2.900000020980835;0.0;0.0;368.42683794193044;-0.4;1.0;0.0;0.0;;
2024/06/13;13:54:59.997;48.664089612;6.155829714;304.27;2;15;0.2795;0.7086;0.5568;-0.3118;0.2958;0.2502;0.0;0.0;3.000000020980835;0.0;0.0;368.5143270057975;-0.4;1.0;0.0;0.0;0.0;-1.5707963267948966
